station,rmse,missing_data_frac
"Alipur, Delhi - DPCC",20.584472866437313,0.029566210045662067
"Anand Vihar, Delhi - DPCC",29.94739398652124,0.024200913242009126
"Ashok Vihar, Delhi - DPCC",19.7556138178709,0.04429223744292232
"Aya Nagar, Delhi - IMD",22.15424363171932,0.07328767123287672
"Bawana, Delhi - DPCC",27.820415592753367,0.014155251141552472
"Burari Crossing, Delhi - IMD",37.82180971195862,0.37385844748858443
"CRRI Mathura Road, Delhi - IMD",19.20273482262294,0.026255707762557035
"Chandni Chowk, Delhi - IITM",30.797189504862903,0.4848173515981735
"DTU, Delhi - CPCB",28.651221323114427,0.1844748858447488
"Dr. Karni Singh Shooting Range, Delhi - DPCC",16.984929286323364,0.013926940639269358
"Dwarka-Sector 8, Delhi - DPCC ",15.780548589748411,0.020205479452054753
"IGI Airport (T3), Delhi - IMD",21.355718084589068,0.020547945205479423
"IHBAS, Dilshad Garden, Delhi - CPCB",30.309923209436842,0.11255707762557077
"ITO, Delhi - CPCB",20.157358910763314,0.03493150684931512
"Jahangirpuri, Delhi - DPCC",29.167147498975297,0.031392694063926974
"Jawaharlal Nehru Stadium, Delhi - DPCC",14.007280044683295,0.05136986301369861
"Lodhi Road, Delhi - IITM",83.07957208511304,0.5270547945205479
"Lodhi Road, Delhi - IMD",16.84955133451793,0.030022831050228294
"Major Dhyan Chand National Stadium, Delhi - DPCC",17.27906671655221,0.022260273972602773
"Mandir Marg, Delhi - DPCC",18.432067531829876,0.048630136986301364
"Mundka, Delhi - DPCC",23.403710108385255,0.02442922374429224
"NSIT Dwarka, Delhi - CPCB",24.182824338308322,0.04977168949771693
"Najafgarh, Delhi - DPCC",14.806510693733316,0.07499999999999996
"Narela, Delhi - DPCC",24.224232323360507,0.03413242009132422
"Nehru Nagar, Delhi - DPCC",33.96554384890085,0.01666666666666672
"North Campus, DU, Delhi - IMD",24.095651086746248,0.03082191780821919
"Okhla Phase-2, Delhi - DPCC",15.848749916093565,0.00878995433789953
"Patparganj, Delhi - DPCC",20.478301892463328,0.03196347031963476
"Punjabi Bagh, Delhi - DPCC",24.364029114370226,0.03321917808219177
"Pusa, Delhi - DPCC",14.607721274111874,0.04292237442922375
"Pusa, Delhi - IMD",21.800187518786075,0.0775114155251142
"R K Puram, Delhi - DPCC",21.819979359999632,0.024315068493150682
"Rohini, Delhi - DPCC",20.562983832251497,0.006392694063926951
"Shadipur, Delhi - CPCB",28.977770955504365,0.049315068493150704
"Sirifort, Delhi - CPCB",30.359962363394033,0.07214611872146115
"Sonia Vihar, Delhi - DPCC",17.618393391725018,0.03242009132420087
"Sri Aurobindo Marg, Delhi - DPCC",14.692796169915185,0.026255707762557035
"Vivek Vihar, Delhi - DPCC",25.765731594974408,0.055365296803652986
"Wazirpur, Delhi - DPCC",23.121096080619047,0.0320776255707762
