station,rmse,missing_data_frac
"Alipur, Delhi - DPCC",59.43706370600491,0.029566210045662067
"Anand Vihar, Delhi - DPCC",75.14573717488773,0.024200913242009126
"Ashok Vihar, Delhi - DPCC",62.04930300510184,0.04429223744292232
"Aya Nagar, Delhi - IMD",38.05928155216936,0.07328767123287672
"Bawana, Delhi - DPCC",68.92983438854849,0.014155251141552472
"Burari Crossing, Delhi - IMD",69.57900590923968,0.37385844748858443
"CRRI Mathura Road, Delhi - IMD",45.56461064011141,0.026255707762557035
"Chandni Chowk, Delhi - IITM",43.570919629505696,0.4848173515981735
"DTU, Delhi - CPCB",58.354600556646446,0.1844748858447488
"Dr. Karni Singh Shooting Range, Delhi - DPCC",52.283759224040125,0.013926940639269358
"Dwarka-Sector 8, Delhi - DPCC ",53.37436636778901,0.020205479452054753
"IGI Airport (T3), Delhi - IMD",46.58475528302401,0.020547945205479423
"IHBAS, Dilshad Garden, Delhi - CPCB",42.01594635060694,0.11255707762557077
"ITO, Delhi - CPCB",52.885341915606176,0.03493150684931512
"Jahangirpuri, Delhi - DPCC",75.59183831382785,0.031392694063926974
"Jawaharlal Nehru Stadium, Delhi - DPCC",49.763171163651315,0.05136986301369861
"Lodhi Road, Delhi - IITM",86.80820297191528,0.5270547945205479
"Lodhi Road, Delhi - IMD",36.78599462511067,0.030022831050228294
"Major Dhyan Chand National Stadium, Delhi - DPCC",49.607048160177264,0.022260273972602773
"Mandir Marg, Delhi - DPCC",45.49977237761986,0.048630136986301364
"Mundka, Delhi - DPCC",69.32401673598089,0.02442922374429224
"NSIT Dwarka, Delhi - CPCB",59.839352324484295,0.04977168949771693
"Najafgarh, Delhi - DPCC",41.75103686384195,0.07499999999999996
"Narela, Delhi - DPCC",65.74762407868413,0.03413242009132422
"Nehru Nagar, Delhi - DPCC",73.60706418906759,0.01666666666666672
"North Campus, DU, Delhi - IMD",53.03132730786832,0.03082191780821919
"Okhla Phase-2, Delhi - DPCC",51.68562674190352,0.00878995433789953
"Patparganj, Delhi - DPCC",60.50388140550554,0.03196347031963476
"Punjabi Bagh, Delhi - DPCC",64.03826326235249,0.03321917808219177
"Pusa, Delhi - DPCC",45.84057555286314,0.04292237442922375
"Pusa, Delhi - IMD",46.203395827858316,0.0775114155251142
"R K Puram, Delhi - DPCC",62.30712250891046,0.024315068493150682
"Rohini, Delhi - DPCC",65.91072642391609,0.006392694063926951
"Shadipur, Delhi - CPCB",52.55837808986055,0.049315068493150704
"Sirifort, Delhi - CPCB",52.55759975444579,0.07214611872146115
"Sonia Vihar, Delhi - DPCC",52.5938301955886,0.03242009132420087
"Sri Aurobindo Marg, Delhi - DPCC",45.10491626753721,0.026255707762557035
"Vivek Vihar, Delhi - DPCC",66.96702479897381,0.055365296803652986
"Wazirpur, Delhi - DPCC",66.39595312987979,0.0320776255707762
