station,time,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,RH,WS,WD,SR,BP,AT,RF,TOT-RF,latitude,longitude,PM2.5_pred
"ITO, Delhi - CPCB",2022-01-09,34.96739130434783,38.59090909090909,13.520833333333334,21.01625,22.175416666666663,29.277083333333334,4.129583333333334,0.10166666666666668,12.285416666666668,7.918333333333333,,,,,,,,,0.0,28.628624,77.24106,44.82888775612517
"ITO, Delhi - CPCB",2022-01-10,63.138749999999995,81.3575,17.84875,22.40125,26.42833333333333,27.45375,9.169583333333334,1.179166666666667,13.429583333333333,9.609166666666667,,,,,,,,,0.0,28.628624,77.24106,90.23535472997126
"ITO, Delhi - CPCB",2022-01-11,63.786086956521736,89.45304347826087,18.131666666666664,22.181250000000002,26.540000000000003,26.68041666666667,9.20125,1.1795833333333332,14.666666666666666,5.293749999999999,,,,,,,,,0.0,28.628624,77.24106,93.57484781113777
"ITO, Delhi - CPCB",2022-01-12,81.205,107.77083333333333,17.63083333333333,20.939999999999998,25.4725,27.058333333333334,9.129583333333334,1.0616666666666668,16.20416666666667,5.710833333333333,,,,,,,,,0.0,28.628624,77.24106,115.7272901424858
"ITO, Delhi - CPCB",2022-01-13,177.98958333333334,225.13875,38.63166666666667,31.85083333333333,48.35125,23.288333333333338,10.706249999999999,1.6920833333333334,13.090416666666664,15.712916666666665,,,,,,,,,0.0,28.628624,77.24106,203.86783663686606
"ITO, Delhi - CPCB",2022-01-14,130.43130434782609,174.98291666666668,25.45875,24.90416666666667,33.94291666666667,25.355416666666667,13.176666666666668,1.6049999999999998,12.459166666666667,9.042083333333332,,,,,,,,,0.0,28.628624,77.24106,185.5439429696495
"ITO, Delhi - CPCB",2022-01-15,152.94416666666666,170.17708333333334,11.877499999999998,17.778333333333332,19.111666666666668,27.953333333333333,7.435416666666666,0.7058333333333332,13.027083333333332,9.421666666666667,,,,,,,,,0.0,28.628624,77.24106,117.56463795164882
"ITO, Delhi - CPCB",2022-01-16,200.795,215.25708333333333,14.305416666666668,19.294583333333332,21.89833333333333,28.469583333333333,5.949583333333333,1.4333333333333333,14.938749999999999,12.53125,,,,,,,,,0.0,28.628624,77.24106,134.66436199673865
"ITO, Delhi - CPCB",2022-01-17,212.0,235.69458333333333,18.7225,20.980416666666667,26.385,28.60833333333333,8.458333333333334,1.5183333333333333,12.863333333333335,5.576249999999999,,,,,,,,,0.0,28.628624,77.24106,172.8855986756802
"ITO, Delhi - CPCB",2022-01-18,191.67375,212.875,11.686666666666666,17.862916666666667,19.0075,29.38,7.726249999999999,0.9249999999999999,14.358333333333334,7.849999999999999,,,,,,,,,0.0,28.628624,77.24106,177.6256449915825
"ITO, Delhi - CPCB",2022-01-19,188.81583333333333,219.42,17.392500000000002,21.893333333333334,25.779583333333335,27.540833333333335,8.889166666666668,1.7225000000000001,15.185,13.9125,,,,,,,,,0.0,28.628624,77.24106,186.22017558792558
"ITO, Delhi - CPCB",2022-01-20,195.64583333333334,226.73291666666668,24.516666666666666,25.025000000000002,33.248333333333335,27.995833333333334,11.869166666666667,1.6666666666666667,12.679583333333333,18.435,,,,,,,,,0.0,28.628624,77.24106,239.43036751390014
"ITO, Delhi - CPCB",2022-01-21,177.7775,196.92041666666668,26.664583333333336,26.442916666666665,35.74208333333333,28.137500000000003,12.991666666666665,1.9516666666666669,13.194166666666666,18.20625,,,,,,,,,0.0,28.628624,77.24106,199.6133539134397
"ITO, Delhi - CPCB",2022-01-22,145.85230769230768,148.32692307692307,16.897083333333335,21.824166666666667,25.330416666666668,30.192499999999995,9.155416666666667,0.3879166666666667,12.71,12.698749999999999,,,,,,,,,0.0,28.628624,77.24106,131.29584118357488
"ITO, Delhi - CPCB",2022-01-23,174.52777777777777,178.7411111111111,9.077083333333334,17.1325,16.495,25.769166666666667,7.92875,0.5879166666666668,13.149583333333332,4.398333333333333,,,,,,,,,0.0,28.628624,77.24106,107.89621367835699
"ITO, Delhi - CPCB",2022-01-24,166.54545454545453,168.47727272727272,6.760833333333333,15.350416666666668,13.663333333333334,23.499583333333334,9.5825,0.9129166666666665,12.365833333333333,8.387083333333335,,,,,,,,,0.0,28.628624,77.24106,113.81115714301599
"ITO, Delhi - CPCB",2022-01-25,248.33333333333334,254.33333333333334,7.34625,15.642083333333332,14.283333333333331,23.52333333333333,7.664166666666667,0.5595833333333333,12.628750000000002,11.86625,,,,,,,,,0.0,28.628624,77.24106,120.71054212524064
"ITO, Delhi - CPCB",2022-01-26,296.0,281.0,6.138333333333333,14.545000000000002,12.723333333333334,23.5325,7.352083333333333,0.15291666666666667,14.361578947368422,5.988333333333333,,,,,,,,,0.0,28.628624,77.24106,126.08676249046529
"ITO, Delhi - CPCB",2022-01-27,264.0,250.0,6.262083333333334,14.558333333333332,12.832916666666668,23.481250000000003,8.241666666666667,0.32052631578947366,15.251999999999999,8.65,,,,,,,,,0.0,28.628624,77.24106,118.05656273836766
"ITO, Delhi - CPCB",2022-01-28,388.0,369.0,8.182916666666667,16.727083333333336,15.550416666666665,23.409583333333334,9.46875,0.5650000000000001,18.341666666666665,12.743749999999999,,,,,,,,,0.0,28.628624,77.24106,103.57722430328212
"ITO, Delhi - CPCB",2022-01-29,268.0,251.0,8.418333333333335,16.955833333333334,15.85875,23.5275,10.183750000000002,0.35500000000000004,18.145555555555557,7.895416666666667,,,,,,,,,0.0,28.628624,77.24106,123.71687802226154
"ITO, Delhi - CPCB",2022-01-30,280.0,275.0,9.1225,18.177083333333332,17.075,23.40291666666667,12.918333333333331,0.5925,21.925882352941176,6.092083333333332,,,,,,,,,0.0,28.628624,77.24106,144.69686453265516
"ITO, Delhi - CPCB",2022-01-31,256.0208333333333,,10.1175,18.84,18.247916666666665,23.596666666666668,23.0575,2.185714285714286,13.512083333333331,8.283333333333333,,,,,,,,,0.0,28.628624,77.24106,213.4307094409786
"Jahangirpuri, Delhi - DPCC",2022-01-01,355.47625,470.6979166666667,73.8995238095238,88.8775,132.74041666666668,105.93458333333335,17.815416666666668,2.607142857142857,31.46541666666667,,19.15833333333333,73.6925,0.23,181.62125,49.21875,998.18,12.455416666666666,0.0,0.0,28.73282,77.170633,235.2865807704881
