station,rmse,missing_data_frac
"Alipur, Delhi - DPCC",21.733623294270306,0.029602641466469293
"Anand Vihar, Delhi - DPCC",30.720580192749413,0.02413753842650579
"Ashok Vihar, Delhi - DPCC",18.69272258021489,0.044176249573038784
"Aya Nagar, Delhi - IMD",21.479970440408515,0.07309575315951267
"Bawana, Delhi - DPCC",29.66246232133665,0.01411818285323918
"Burari Crossing, Delhi - IMD",36.63443533083569,0.3728794261641808
"CRRI Mathura Road, Delhi - IMD",24.141121742422012,0.026300808379824625
"Chandni Chowk, Delhi - IITM",28.268118871405207,0.483547762723443
"DTU, Delhi - CPCB",31.599475549889807,0.1839918023454401
"Dr. Karni Singh Shooting Range, Delhi - DPCC",14.552967595962945,0.013890470226574081
"Dwarka-Sector 8, Delhi - DPCC ",17.208087101583168,0.0201525674598656
"IGI Airport (T3), Delhi - IMD",21.09046834083745,0.020494136399863416
"IHBAS, Dilshad Garden, Delhi - CPCB",29.06212432769034,0.11226232494591826
"ITO, Delhi - CPCB",18.731620916031925,0.0348400318797677
"Jahangirpuri, Delhi - DPCC",27.893896868759573,0.03131048616645793
"Jawaharlal Nehru Stadium, Delhi - DPCC",16.045258524488098,0.05123534099965843
"Lodhi Road, Delhi - IITM",82.90683240631931,0.5282932938631447
"Lodhi Road, Delhi - IMD",17.252805059414065,0.029944210406466998
"Major Dhyan Chand National Stadium, Delhi - DPCC",16.32142728968324,0.022201981099851942
"Mandir Marg, Delhi - DPCC",17.288575782793657,0.049982921553000104
"Mundka, Delhi - DPCC",22.425035875919022,0.02436525105317089
"NSIT Dwarka, Delhi - CPCB",25.625923746282492,0.0496413526130024
"Najafgarh, Delhi - DPCC",14.9891555431187,0.0750313104861664
"Narela, Delhi - DPCC",23.069836590776738,0.03404303768643968
"Nehru Nagar, Delhi - DPCC",35.630533441124186,0.016623021746555833
"North Campus, DU, Delhi - IMD",27.399354432027003,0.030741204599795013
"Okhla Phase-2, Delhi - DPCC",15.898972598929737,0.008766936126608171
"Patparganj, Delhi - DPCC",20.044466048731415,0.031879767733120845
"Punjabi Bagh, Delhi - DPCC",24.32445823364899,0.03313218717977917
"Pusa, Delhi - DPCC",15.257624496600274,0.04280997381304796
"Pusa, Delhi - IMD",24.302292471592907,0.07730843675281796
"R K Puram, Delhi - DPCC",22.73923140044994,0.024251394739838283
"Rohini, Delhi - DPCC",20.351190836935903,0.006375953546624125
"Shadipur, Delhi - CPCB",29.230382860909785,0.04918592735967209
"Sirifort, Delhi - CPCB",21.701883879026827,0.07195719002618695
"Sonia Vihar, Delhi - DPCC",17.854311547262533,0.032335192986451045
"Sri Aurobindo Marg, Delhi - DPCC",14.208842320893945,0.02618695206649213
"Vivek Vihar, Delhi - DPCC",24.762236722671766,0.05522031196629851
"Wazirpur, Delhi - DPCC",21.48195812479547,0.03199362404645334
