time,0
2022-01-01 00:30:00,474.4316637349129
2022-01-01 01:30:00,536.382184188366
2022-01-01 02:30:00,472.3601036834717
2022-01-01 03:30:00,375.0989818954468
2022-01-01 04:30:00,337.98476427912715
2022-01-01 05:30:00,261.8302990245819
2022-01-01 06:30:00,230.42456066489223
2022-01-01 07:30:00,226.59072734594346
2022-01-01 08:30:00,230.56203601002696
2022-01-01 09:30:00,251.95656565427782
2022-01-01 10:30:00,260.0545794546604
2022-01-01 11:30:00,245.11235406875613
2022-01-01 12:30:00,250.9160052061081
2022-01-01 13:30:00,227.62109392523766
2022-01-01 14:30:00,165.74719120144846
2022-01-01 15:30:00,137.1195986223221
2022-01-01 16:30:00,148.39194389939308
2022-01-01 17:30:00,161.74551921486855
2022-01-01 18:30:00,183.79917961835864
2022-01-01 19:30:00,264.5657266008854
2022-01-01 20:30:00,358.09910115718844
2022-01-01 21:30:00,480.7112179327011
2022-01-01 22:30:00,553.4463714313508
2022-01-01 23:30:00,593.8178466653824
