station,rmse,missing_data_frac
"Alipur, Delhi - DPCC",33.33414937450505,0.029602641466469293
"Anand Vihar, Delhi - DPCC",43.71093508037526,0.02413753842650579
"Ashok Vihar, Delhi - DPCC",32.471404177895494,0.044176249573038784
"Aya Nagar, Delhi - IMD",23.898950090897262,0.07309575315951267
"Bawana, Delhi - DPCC",43.81328543846545,0.01411818285323918
"Burari Crossing, Delhi - IMD",42.579030337978395,0.3728794261641808
"CRRI Mathura Road, Delhi - IMD",31.063344311879163,0.026300808379824625
"Chandni Chowk, Delhi - IITM",29.200612991212363,0.483547762723443
"DTU, Delhi - CPCB",33.988391615433386,0.1839918023454401
"Dr. Karni Singh Shooting Range, Delhi - DPCC",23.26921167218853,0.013890470226574081
"Dwarka-Sector 8, Delhi - DPCC ",28.981934315226592,0.0201525674598656
"IGI Airport (T3), Delhi - IMD",26.157416061569805,0.020494136399863416
"IHBAS, Dilshad Garden, Delhi - CPCB",29.679609988373528,0.11226232494591826
"ITO, Delhi - CPCB",28.97639064087388,0.0348400318797677
"Jahangirpuri, Delhi - DPCC",46.425378748090054,0.03131048616645793
"Jawaharlal Nehru Stadium, Delhi - DPCC",25.793240424560732,0.05123534099965843
"Lodhi Road, Delhi - IITM",96.05459910120175,0.5282932938631447
"Lodhi Road, Delhi - IMD",23.99230164933693,0.029944210406466998
"Major Dhyan Chand National Stadium, Delhi - DPCC",28.501649557196615,0.022201981099851942
"Mandir Marg, Delhi - DPCC",26.320235753015222,0.049982921553000104
"Mundka, Delhi - DPCC",39.22091532918251,0.02436525105317089
"NSIT Dwarka, Delhi - CPCB",34.404809867144934,0.0496413526130024
"Najafgarh, Delhi - DPCC",23.66781869731559,0.0750313104861664
"Narela, Delhi - DPCC",36.538938117736755,0.03404303768643968
"Nehru Nagar, Delhi - DPCC",46.83980157966375,0.016623021746555833
"North Campus, DU, Delhi - IMD",34.95745538040679,0.030741204599795013
"Okhla Phase-2, Delhi - DPCC",27.85904777489002,0.008766936126608171
"Patparganj, Delhi - DPCC",32.24989627969831,0.031879767733120845
"Punjabi Bagh, Delhi - DPCC",37.58148087916719,0.03313218717977917
"Pusa, Delhi - DPCC",23.43422617396011,0.04280997381304796
"Pusa, Delhi - IMD",31.808861584397786,0.07730843675281796
"R K Puram, Delhi - DPCC",35.25753206913428,0.024251394739838283
"Rohini, Delhi - DPCC",35.86930284062672,0.006375953546624125
"Shadipur, Delhi - CPCB",34.883806293666844,0.04918592735967209
"Sirifort, Delhi - CPCB",25.885042628893366,0.07195719002618695
"Sonia Vihar, Delhi - DPCC",30.696829446828552,0.032335192986451045
"Sri Aurobindo Marg, Delhi - DPCC",21.075542099565013,0.02618695206649213
"Vivek Vihar, Delhi - DPCC",39.25686166454018,0.05522031196629851
"Wazirpur, Delhi - DPCC",36.64525320190005,0.03199362404645334
