station,rmse,missing_data_frac
"Alipur, Delhi - DPCC",23.13790056440826,0.029602641466469293
"Anand Vihar, Delhi - DPCC",31.7000359165121,0.02413753842650579
"Ashok Vihar, Delhi - DPCC",21.25398476090439,0.044176249573038784
"Aya Nagar, Delhi - IMD",19.328793984254165,0.07309575315951267
"Bawana, Delhi - DPCC",32.23790671655705,0.01411818285323918
"Burari Crossing, Delhi - IMD",35.043014922659815,0.3728794261641808
"CRRI Mathura Road, Delhi - IMD",24.329636568145364,0.026300808379824625
"Chandni Chowk, Delhi - IITM",27.663366223955798,0.483547762723443
"DTU, Delhi - CPCB",28.14899537396459,0.1839918023454401
"Dr. Karni Singh Shooting Range, Delhi - DPCC",15.194205379205224,0.013890470226574081
"Dwarka-Sector 8, Delhi - DPCC ",19.48525844017439,0.0201525674598656
"IGI Airport (T3), Delhi - IMD",20.177629364705957,0.020494136399863416
"IHBAS, Dilshad Garden, Delhi - CPCB",28.173891825448237,0.11226232494591826
"ITO, Delhi - CPCB",20.51976876882961,0.0348400318797677
"Jahangirpuri, Delhi - DPCC",33.66692874155327,0.03131048616645793
"Jawaharlal Nehru Stadium, Delhi - DPCC",17.874311611271214,0.05123534099965843
"Lodhi Road, Delhi - IITM",92.02546173906183,0.5282932938631447
"Lodhi Road, Delhi - IMD",18.792073428466722,0.029944210406466998
"Major Dhyan Chand National Stadium, Delhi - DPCC",20.136090451993415,0.022201981099851942
"Mandir Marg, Delhi - DPCC",19.04733116057906,0.049982921553000104
"Mundka, Delhi - DPCC",25.842772902621636,0.02436525105317089
"NSIT Dwarka, Delhi - CPCB",26.91856634873096,0.0496413526130024
"Najafgarh, Delhi - DPCC",16.643589222942694,0.0750313104861664
"Narela, Delhi - DPCC",26.365884174321543,0.03404303768643968
"Nehru Nagar, Delhi - DPCC",36.850953922317125,0.016623021746555833
"North Campus, DU, Delhi - IMD",28.39958046195719,0.030741204599795013
"Okhla Phase-2, Delhi - DPCC",17.806953886792396,0.008766936126608171
"Patparganj, Delhi - DPCC",23.88652125349429,0.031879767733120845
"Punjabi Bagh, Delhi - DPCC",26.528770610760404,0.03313218717977917
"Pusa, Delhi - DPCC",15.623268262073818,0.04280997381304796
"Pusa, Delhi - IMD",24.495416164607942,0.07730843675281796
"R K Puram, Delhi - DPCC",25.991527586510145,0.024251394739838283
"Rohini, Delhi - DPCC",22.812508260622163,0.006375953546624125
"Shadipur, Delhi - CPCB",28.957229914441108,0.04918592735967209
"Sirifort, Delhi - CPCB",20.449582512161,0.07195719002618695
"Sonia Vihar, Delhi - DPCC",19.247521165853215,0.032335192986451045
"Sri Aurobindo Marg, Delhi - DPCC",15.005103770522222,0.02618695206649213
"Vivek Vihar, Delhi - DPCC",28.581121191672885,0.05522031196629851
"Wazirpur, Delhi - DPCC",24.753383206164067,0.03199362404645334
